PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0WQDx,r3kb1r/pp3ppp/3p1B2/2pNp3/4P3/3P1bPq/PPP1NP1P/R2QR1K1 w kq - 2 14,d5e3 g7f6 e2f4 e5f4 d1f3 f4e3,1642,76,89,1836,advantage hangingPiece long opening,https://lichess.org/B4qCDv55#27,Sicilian_Defense Sicilian_Defense_Closed
0N8ra,8/1B2b2p/p2rPkp1/5p2/5P2/6P1/1r5P/R3R1K1 w - - 2 30,b7a6 d6d2 e1e2 d2e2 a6e2 b2e2,1756,73,95,14522,advantage endgame long,https://lichess.org/s6mR6dyT#59,
0RvLp,4r1k1/p1p2pp1/2pq2bp/8/P1PN4/2R1P2P/3P1PP1/1r1QR1K1 w - - 1 22,d1e2 b1e1 e2e1 d6d4,1853,74,81,153,advantage kingsideAttack middlegame short,https://lichess.org/3hKmhs9L#43,
0Tnt5,r1b1Q3/6rk/p3p2p/1p1pP3/2pPq1P1/6K1/5PP1/7R b - - 4 34,c8b7 h1h6 h7h6 e8h5,1429,76,95,31324,attraction endgame mate mateIn2 sacrifice short,https://lichess.org/wM8xRibl/black#68,
0Nga2,4r2k/3b1pp1/p2p3p/1p1Br3/3QPq2/P7/1PP2PPP/4R1RK w - - 7 23,f2f3 e5h5 g2g3 f4f3,1678,75,93,1608,advantage kingsideAttack middlegame short,https://lichess.org/6a9lkNnP#45,
07WYg,4r1k1/2q4p/p4Rp1/1pp5/8/2P5/PPQ3PP/7K w - - 1 26,h2h3 e8e1 f6f1 e1f1,673,79,99,1788,endgame mate mateIn2 short,https://lichess.org/FhOb3Izt#51,
0J6NL,r2qr1k1/3n1pbp/p2Bb1p1/3p4/N3p3/1P2P3/P3BPPP/2RQ1RK1 b - - 3 17,d7b6 d6c7 b6a4 c7d8,1656,76,66,270,advantage master opening short,https://lichess.org/aLesOiBM/black#34,English_Opening English_Opening_Symmetrical_Variation
06f2z,r1b2rk1/p1pp2pp/1p1b4/2q2p2/5P2/4P3/PPPBB1PP/R2Q1RK1 b - - 1 14,c8b7 b2b4 c5c6 e2f3 c6c4 f3b7 a8b8 b7f3,1776,74,90,1208,advantage defensiveMove middlegame skewer veryLong,https://lichess.org/bg6meZd6/black#28,Englund_Gambit_Complex Englund_Gambit_Complex_Englund_Gambit
0Ah7z,r4r2/1b2k3/p3p1q1/1pp3p1/6Q1/3P2R1/PPP3P1/4R1K1 b - - 3 27,f8f4 g4f4 g5f4 g3g6,1747,75,96,3389,advantage discoveredAttack middlegame short,https://lichess.org/hjzUj535/black#54,
0Sf01,4rnk1/pp3p1p/3r1qp1/3Pp1N1/4Bn1Q/P7/1P3PPP/3RR1K1 w - - 1 22,g2g3 f6g5 h4g5 f4h3 g1f1 h3g5,1371,73,94,8417,advantage attraction fork long master middlegame pin sacrifice,https://lichess.org/LWh6c36m#43,
087y8,8/2R1P3/8/6p1/3R3P/kPK1r3/6r1/8 w - - 0 47,c3c4 g2c2 c4d5 c2c7,1092,78,88,176,advantage endgame rookEndgame short skewer,https://lichess.org/MfEWvu6Y#93,
0FuFJ,4k3/1pN2rpp/p1n5/8/2Q5/4q3/PP4PP/3R3K b - - 0 24,f7c7 c4g8 e8e7 g8g7,1361,75,96,9049,crushing endgame interference short,https://lichess.org/z3fMvsfg/black#48,
0Tr6H,8/8/5k2/4bp1p/5N1P/5KP1/8/8 b - - 5 65,e5f4 f3f4 f6e6 f4g5 e6e5 g5h5 e5f6 h5h6 f5f4 g3f4,1816,75,94,10093,crushing endgame veryLong zugzwang,https://lichess.org/R0419Iyt/black#130,
02YEp,r1b5/7p/pp4pk/2qpQn1r/8/PBN2P1P/1PP3P1/3RR2K w - - 3 24,e5d5 f5g3 h1h2 h5h3 g2h3 c5f2,2243,87,93,5665,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/cafPuOxW#47,
08pvI,r4rk1/1bq2pb1/p3p1p1/6PR/p3NP2/2P1Q3/BP2K3/7R b - - 0 28,g6h5 e4f6 g7f6 g5f6 f8d8 h1h5,2499,84,95,165,advantage kingsideAttack long middlegame,https://lichess.org/uRNmfXAI/black#56,
04t9W,3qrrk1/1B1n1p1p/pn1P2p1/2p1b3/8/2N1B2P/PPQ3P1/R4RK1 w - - 0 22,b7a6 e5c3 c2c3 b6d5 c3d2 d5e3,1732,75,96,9838,advantage long middlegame,https://lichess.org/n9Maf13D#43,
0Ibjc,r6r/pp2k2p/1q1pb1p1/1B2pPP1/7B/2N5/PPPR1PP1/2K4R b - - 0 18,g6f5 g5g6 e7f8 h4f6 h8g8 g6h7,1791,75,94,7925,advancedPawn clearance crushing discoveredAttack long middlegame,https://lichess.org/d72woyKC/black#36,Sicilian_Defense Sicilian_Defense_Accelerated_Dragon
0ODMI,6r1/pp2kp2/5R1p/2bpP3/7P/6B1/PP3PP1/2K5 w - - 0 27,f6h6 g8g3 f2g3 c5e3 c1d1 e3h6,1333,74,96,28496,advantage endgame fork long sacrifice,https://lichess.org/9vMCUGbN#53,
07mi1,3kb3/pp3qp1/3Q3p/2pNp3/P1PnP3/1P5P/7K/8 b - - 0 29,e8d7 d6c7 d8e8 c7b8 d7c8 b8c8,1810,77,96,14962,endgame exposedKing long mate mateIn3,https://lichess.org/9mrbiiy5/black#58,
01t6f,r4rk1/2qb2pp/p2bp3/1p1nnN2/1P2Q3/P1P3N1/2B2PPP/R1B2RK1 b - - 0 21,d5c3 f5h6 g7h6 e4h7,1776,76,95,10459,discoveredAttack kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/zgaMr6Zr/black#42,
00R2A,2kr1b1R/p5p1/8/3P1p2/8/4B3/PPPK1P2/8 w - - 1 25,c2c4 f8b4 d2d3 d8h8,808,78,99,1291,crushing discoveredAttack endgame short,https://lichess.org/ZjzT3REI#49,
0CN1G,2rr2k1/1q3pbp/p2pb1p1/1p1N4/4Q3/1BP2P2/PP4PP/3RR2K b - - 0 20,d8e8 d5f6 g7f6 e4b7,1377,75,89,1184,crushing discoveredAttack middlegame short,https://lichess.org/dTYqx50p/black#40,
0Rp8z,1k1rbbnr/ppp2pp1/1Nn1q2p/4P3/2B2B2/5N2/PPP3PP/R2QK2R w KQ - 9 13,d1d8 c6d8 c4e6 d8e6 b6d5 c7c6 d5c3 e6f4,1979,74,92,4281,advantage middlegame veryLong,https://lichess.org/n0t4YnQw#25,Kings_Gambit_Accepted Kings_Gambit_Accepted_Fischer_Defense
0C673,8/p6k/1p1N4/2p4p/2Pp1r2/3Pb2K/PP4RP/8 w - - 2 33,d6e4 f4e4 d3e4 d4d3 h3g3 d3d2 g3f3 d2d1q,2044,76,97,660,advancedPawn advantage endgame promotion sacrifice veryLong,https://lichess.org/AWPHOZBL#65,
